node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'us-central1-c', 0, 0, 'FKA.pem', -1, 0,
1, 'us-central1-c', 0, 0, 'FKA.pem', -1, 1,
2, 'us-central1-c', 0, 0, 'FKA.pem', -1, 2,
3, 'us-central1-c', 0, 0, 'FKA.pem', -1, 3,
4, 'us-central1-c', 1, -1, 'FKA.pem', 0, -1,
5, 'us-central1-c', 1, -1, 'FKA.pem', 1, -1,
6, 'us-central1-c', 1, -1, 'FKA.pem', 2, -1,
7, 'us-central1-c', 1, -1, 'FKA.pem', 3, -1,
8, 'us-central1-c', 1, -1, 'FKA.pem', 4, -1,
9, 'us-central1-c', 1, -1, 'FKA.pem', 5, -1,
